,Age,Mean CIVE Value,index_for_matlab,calculated_d13_DIC_no_vital_effect,calculated_d13_DIC_actual_vital_effect_spero,calculated_d13_DIC_0.5_vital_effect,calculated_d13_DIC_15_vital_effect
0,40.043,2.2875,4,2.88,2.39,2.38,1.38
1,41.014,2.042,5,2.9,2.41,2.4,1.4
2,41.978,1.79,7,2.77,2.27,2.27,1.27
3,43.882,1.7525,11,2.34,1.8,1.84,0.84
4,44.832,1.936,12,2.56,2.04,2.06,1.06
5,46.171,1.45,14,2.01,1.45,1.51,0.51
6,47.38,1.782,17,2.63,2.12,2.13,1.13
7,49.421,1.902,19,2.48,1.96,1.98,0.98
8,50.738,1.788,21,2.38,1.85,1.88,0.88
9,55.5,-0.508171327,37,0.22,-0.5,-0.28,-1.28